"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"huggingface/transformers","🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.",false,821.2,0.7,39986,710,9775,5696,4140,47,"nlp, natural-language-processing, natural-language-understanding, pytorch, language-model, natural-language-generation, tensorflow, bert, gpt, xlnet, language-models, xlm, transformer-xl, pytorch-transformers, hacktoberfest-accepted, nlp-library, transformer, model-hub, pretrained-models",743,35,27284,100,100,100,51,51.93,46.16,49.45,48.94,52.84,50.92,,49.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,2177,2678,3659,4519,5243,5946,6855,9268,10609,12591,15160,16941,18952,20564,21910,23512,25048,27103,29096,30917,32451,33803,35338,36994,38445,39851
"google-research/bert","TensorFlow code and pre-trained models for BERT",false,824.9,8.2,26753,990,7566,1017,175,0,"nlp, google, natural-language-processing, natural-language-understanding, tensorflow",31,30,6065,22.23,33.22,29.06,12.71,12.64,11.9,16.39,15.95,16.46,21.72,,32.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7616,9533,10866,11811,12872,13816,14623,15512,16410,17065,17727,18433,19297,20091,20713,21179,21707,22266,22792,23348,23810,24335,24780,25225,25743,26359,26723
"ymcui/Chinese-BERT-wwm","Pre-Training with Whole Word Masking for Chinese BERT（中文BERT-wwm系列模型）",false,587.9,0.7,4703,133,793,167,1,0,"chinese-bert, tensorflow, pytorch, bert, nlp, roberta, bert-wwm, bert-wwm-ext, roberta-wwm, rbt",2,1,1765,6.47,55,26.95,4.86,5.93,5.72,7.2,7.05,6.85,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,752,1116,1389,1622,1816,2033,2183,2289,2552,2796,2990,3179,3397,3589,3785,4025,4280,4508,4684
"hanxiao/bert-as-service","Mapping a variable-length sentence to a fixed-length vector using BERT model",false,807.4,26,8810,206,1758,479,138,10,"nlp, bert, sentence-encoding, natural-language-processing, natural-language-understanding, tensorflow, word-embedding, deep-learning, deep-neural-networks, machine-learning, ai",40,1,2439,8.94,40.57,24.51,3.29,4,3.81,4.66,4.99,6.25,9.52,,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,1308,1841,2292,2868,3350,3765,4189,4610,4959,5277,5617,5929,6261,6508,6718,6970,7246,7468,7683,7879,8081,8231,8364,8515,8673,8790
"UKPLab/sentence-transformers","Sentence Embeddings with BERT & XLNet",false,553.4,1.3,4005,86,757,654,62,20,"",56,21,1392,5.1,50.94,23.66,8.71,7.79,7.1,8.42,8.84,8.32,,,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127,301,439,604,783,944,1128,1351,1618,1873,2119,2367,2680,2966,3213,3509,3765,3983
"pytorch/fairseq","Facebook AI Research Sequence-to-Sequence Toolkit written in Python.",false,1247.1,1,11076,320,2812,2347,819,13,"python, pytorch, artificial-intelligence",240,384,2707,9.92,35.82,23.35,8.86,9.14,9.44,13.42,14.55,12.17,11.44,,9.02,0,0,0,0,0,0,0,0,575,718,823,874,944,1021,1091,1157,1281,1551,1712,1820,2032,2203,2361,2513,2692,2904,3160,3441,3675,3864,4122,4982,5340,5722,6038,6325,6601,6827,7079,7388,7784,8089,8386,8625,8885,9818,10382,10755,11044
"sebastianruder/NLP-progress","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",false,950.1,3.2,17691,1285,3034,85,440,3,"natural-language-processing, machine-learning, named-entity-recognition, machine-translation, nlp-tasks, dialogue",242,2,3658,13.41,30.3,23.09,6,6.14,6.58,8.21,8.44,10.54,13.13,,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332,4997,5520,5826,6220,7020,7568,8090,8567,9213,9690,10172,10576,10985,11346,11776,12084,12531,13229,13825,14393,14741,15126,15484,15891,16132,16407,16659,16923,17235,17472,17673
"zihangdai/xlnet","XLNet: Generalized Autoregressive Pretraining for Language Understanding",false,588.5,5.3,5545,171,1112,247,29,0,"tensorflow, nlp, deep-learning",10,2,1641,6.01,43.37,22.45,1.14,1.43,1.15,1.29,1.33,1.71,,,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2843,3944,4253,4478,4619,4738,4845,4919,4982,5058,5137,5198,5255,5299,5351,5397,5425,5471,5507,5543
"allenai/allennlp","An open-source NLP research library, built on PyTorch.",false,1353.2,0.8,9611,286,1981,2217,2710,40,"pytorch, nlp, natural-language-processing, deep-learning, data-science, python",235,193,2203,8.07,33.59,20.89,3.86,4.07,3.19,4.98,4.58,4.98,6.39,,7.35,0,0,0,0,0,0,29,43,830,917,1015,1162,1316,1485,1695,1876,2036,2305,2658,2884,3250,3657,4115,4542,4931,5214,5543,5845,6101,6331,6533,6779,7022,7210,7418,7618,7782,7928,8100,8276,8405,8594,8763,8890,9014,9145,9375,9502,9599
"ThilinaRajapakse/simpletransformers","Transformers for Classification, NER, QA, Language Modelling, Language Generation, T5, Multi-Modal, and Conversational AI",false,481.6,3.2,2028,52,434,713,241,35,"transformers, text-classification, named-entity-recognition, question-answering, conversational-ai",60,1,717,2.63,51.81,19.18,4.57,4.5,4.24,4.19,4.21,4.39,,,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,177,300,420,522,618,753,953,1123,1256,1386,1520,1642,1771,1895,2024
