"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"netdata/netdata","Real-time performance monitoring, done right! https://www.netdata.cloud",false,2787.1,0.1,51283,1416,4701,6058,4504,40,"monitoring, iot, notifications, docker, statsd, kubernetes, cncf, prometheus, containers, netdata, analytics, devops, time-series, observability, alerting, graphing, influxdb, grafana, graphite, dashboard",443,44,24053,100,99.99,99.99,13.86,13.93,13.91,25.4,20.96,20.65,23.58,28.08,18.4,17284,17982,18807,19518,20204,20780,21652,22279,22951,23656,24272,25102,25838,26513,27255,27901,28466,29054,29595,30340,30888,31406,32247,33023,34048,35023,35964,36763,37591,38318,39069,39779,40555,41291,42237,43022,43722,44447,45071,45846,46405,46930,47434,47891,48468,48942,49447,50838,51261
"netbox-community/netbox","IP address management (IPAM) and data center infrastructure management (DCIM) tool.",false,1800.3,0.2,7536,405,1422,4543,1097,167,"dcim, ipam, netbox",145,8,571,2.37,16.15,8.52,7.43,6.64,5.13,5.4,4.47,4.05,3.93,,4.19,1840,1986,2122,2193,2279,2456,2515,2615,2704,2813,2936,3057,3151,3269,3431,3541,3624,3715,3807,3971,4135,4274,4397,4553,4659,4809,4934,5075,5176,5286,5360,5462,5576,5673,5796,5909,6048,6144,6233,6355,6471,6595,6710,6814,6919,7033,7236,7370,7527
"grafana/grafana","The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",false,2610.2,0,39579,1239,8029,18746,12065,204,"grafana, monitoring, analytics, metrics, influxdb, prometheus, elasticsearch, alerting, data-visualization, go, dashboard, business-intelligence, mysql, postgres, hacktoberfest",1391,213,1435,5.97,7.73,7.09,17.29,20.29,19.3,19.78,19.01,18.75,18.85,17.49,15.38,13481,14028,14553,14968,15413,15813,16201,16633,17084,17715,18243,18686,19178,19682,20187,20652,21134,21735,22291,22795,23338,23853,24480,25145,25776,26372,27117,27737,28347,28903,29466,30076,30613,31162,31703,32237,32696,33216,33769,34300,34930,35499,36071,36602,37206,37735,38414,38953,39541
"nicolargo/glances","Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",false,3348.5,3.5,17786,507,1165,1315,484,21,"python, multi-platform, monitoring, system, terminal, web, restful, restful-api",123,3,821,3.41,9.84,6.91,11.86,19.14,13.08,8.73,7.94,8.27,7.37,7.46,5.31,6281,6481,6679,6873,7050,7195,7347,7570,7734,8125,8367,8538,8811,9006,9223,9418,9587,9745,10788,11296,11512,11740,11939,12137,12391,12591,12801,12992,13205,13418,13598,13792,13957,14125,14358,14571,14753,15104,15407,15669,15908,16124,16323,16553,16803,16975,17172,17373,17773
"causefx/Organizr","HTPC/Homelab Services Organizer - Written in PHP",false,1496.8,0.9,3115,101,233,1062,513,65,"organizr, plex, emby, php, dashboard, bookmark, server, htpc, sonarr, radarr, ombi, homepage, chat, landing-page, landing, couchpotato, couchpotatoserver, nzbget, sabnzbd",65,6,256,1.06,17.52,6.89,2,2.07,2.1,1.96,1.81,2.11,2.09,,2.08,46,61,297,356,386,431,480,528,582,812,855,892,940,991,1036,1084,1151,1205,1252,1292,1338,1396,1463,1512,1584,1721,1807,1873,1920,1969,2010,2060,2107,2165,2233,2273,2337,2382,2447,2530,2617,2707,2776,2840,2885,2929,2986,3044,3109
"ansible/ansible","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",false,3255.3,0,46729,2035,20219,28782,44464,3,"python, ansible, hacktoberfest",5197,63,1516,6.3,6.92,6.71,14.43,15.29,15.42,15.65,15.86,15.95,17.44,17.99,14.35,19769,20345,21001,21558,22126,22637,23160,23722,24354,25003,25528,26040,26730,27342,27964,28606,29170,29736,30382,30973,31574,32273,32846,33385,33969,34560,35181,35799,36448,37069,37692,38194,38729,39226,39882,40394,40879,41359,41847,42386,42870,43347,43804,44266,44710,45271,45706,46230,46700
"traefik/traefik","The Cloud Native Application Proxy",false,1969.1,0.1,32466,698,3580,4344,3479,322,"microservice, docker, marathon, mesos, consul, etcd, kubernetes, load-balancer, reverse-proxy, zookeeper, letsencrypt, golang, go",590,29,1146,4.76,7.53,6.46,15.57,14.07,13.32,12.98,15.06,15.6,17.57,17.07,16.47,5856,6324,6874,7415,7802,8196,8611,9033,9626,10271,10872,11406,12126,12869,13575,14271,14890,15456,16066,16651,17248,17757,18300,18870,19582,20104,20885,21510,22050,22569,23090,23625,24445,25061,25601,26200,26714,27218,27693,28202,28696,29161,29659,30295,30786,31224,31659,32002,32408
"firehol/firehol","A firewall for humans...",false,2696,33.2,1196,75,164,349,101,35,"firewall, qos, linux, iptables, tc, ipset, synproxy, balancer",25,10,125,0.52,22.28,6.37,0.71,0.64,0.53,0.49,0.39,0.4,0.43,0.59,0.44,405,426,463,475,496,517,535,556,582,603,619,632,646,662,685,703,711,721,740,756,766,772,795,857,880,911,931,947,958,969,978,986,998,1012,1023,1038,1048,1062,1075,1085,1097,1111,1123,1134,1141,1150,1162,1179,1196
"pi-hole/pi-hole","A black hole for Internet advertisements",false,2431.3,3.1,29271,699,1906,2176,1691,66,"pi-hole, ad-blocker, shell, blocker, raspberry-pi, cloud, dnsmasq, dhcp, dhcp-server, dns-server, dashboard, hacktoberfest",181,8,1042,4.33,7.59,6.3,18.14,19.07,34.29,40.26,28.27,25.13,24.02,15.72,12.37,2514,2785,3835,4079,4399,4599,4849,5090,5254,5526,5825,6138,6597,6943,7333,7748,8304,8665,9033,9443,9903,10275,10648,11037,11708,13388,13908,14621,15305,15877,16398,17152,17736,18220,18688,19429,20067,20722,21262,21766,22919,23559,24081,24608,25047,25566,26897,28197,29241
"prometheus/prometheus","The Prometheus monitoring system and time series database.",false,2992.4,0.2,35084,1160,5570,3828,4596,166,"monitoring, metrics, alerting, graphing, time-series, prometheus, hacktoberfest",560,24,1163,4.83,7.07,6.23,16.71,18.64,17.1,17.06,17,18.01,19.03,17.25,11.71,7470,7941,8346,8840,9320,9795,10266,10804,11267,11866,12614,13196,13788,14376,14963,15484,16030,16643,17243,17887,18580,19182,19818,20468,21135,21711,22369,23026,23683,24292,24893,25565,26176,26804,27402,28000,28459,28960,29529,30159,30750,31307,31928,32430,32995,33474,34016,34510,35031
