"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"openai/CLIP","Contrastive Language-Image Pretraining",40.4,12.9,,1368,609,99.84,97.87,98.52,,24.57,,,,,,,69.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650
"lucidrains/DALLE-pytorch","Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in Pytorch",20,7.9,,1722,112,18.36,14.3,15.54,,27.14,,,,,,,88.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946
"EleutherAI/gpt-neox","An implementation of model parallel GPT-3-like models on GPUs, based on the DeepSpeed library. Designed to be able to train models in the hundreds of billions of parameters or larger.",34.3,8,,104,11,1.8,23.25,9.92,,0.93,2.76,,,,,,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,117
"HumamAlwassel/XDC","Self-Supervised Learning by Cross-Modal Audio-Video Clustering (NeurIPS 2020)",53.9,12.4,,26,4,0.66,33.82,9.09,,0.07,0.1,,,,,,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28
"cvlab-columbia/hyperfuture","Code for the paper Learning the Predictability of the Future",24.3,11.1,,39,5,0.82,28.18,8.67,,0.86,,,,,,,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"CompVis/taming-transformers","",39.3,13.4,,334,19,3.11,12.51,7.87,,2.79,10.82,,,,,,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,371
"google-research/vision_transformer","",96.4,10.1,,1512,50,8.2,7.27,7.57,,4.93,8.38,11.62,,,,,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,948,1246,1554
"lucidrains/linear-attention-transformer","Transformer based on a variant of attention that is linear complexity in respect to sequence length",235,23.8,,183,12,1.97,14.42,7.42,,0.21,0.53,0.44,0.61,,,,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,71,99,114,142,155,167,193
"yucornetto/MGMatting","This repository includes the official project of Mask Guided (MG) Matting, presented in our paper: Mask Guided Matting via Progressive Refinement Network",54.9,36.1,,36,4,0.66,24.43,7.31,,,0.16,,,,,,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43
"bl0/PIC","Parametric Instance Classification for Unsupervised Visual Feature Learning, NeurIPS 2020",98.6,14.5,,24,3,0.49,27.48,7.19,,1.36,0.66,0.23,,,,,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,28
