"fullName","description","createdAgo","pushedAgo","isFork","repoStars","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"pytorch/pytorch","Tensors and Dynamic neural networks in Python with strong GPU acceleration",1626.7,7.8,,45547,27664,99.99,99.91,99.93,,12,18.81,26.09,30.15,29.56,30.83,,28.04,10872,11634,12410,13603,14863,15625,16370,17127,17944,19343,20496,21982,23006,23956,25087,26237,27331,28286,29209,30096,30913,32141,33056,34003,34724,35537,36480,37404,38354,39167,40010,40941,42202,43131,44040,44941,45898
"pytorch/vision","Datasets, Transforms and Models specific to Computer Vision",1537.9,7.9,,8163,1611,5.82,32.46,18.31,,4.07,4.8,7.36,7.56,7.91,7.72,,5.53,1010,1102,1220,1341,1480,1573,1694,1799,1902,2040,2202,2363,2513,2616,2809,3045,3279,3518,3771,3998,4316,4566,4803,5075,5265,5477,5706,5966,6205,6493,6773,7013,7247,7480,7751,8006,8213
"pytorch/examples","A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",1615.8,12.1,,15227,2351,8.5,25.4,17.63,,3.21,6.25,9.88,9.57,10.63,11.25,,9.43,2933,3182,3478,3823,4426,4746,5070,5364,5694,6001,6323,6685,7011,7300,7707,8122,8477,8795,9151,9506,9869,10223,10670,11058,11349,11667,12016,12404,12765,13080,13480,13798,14056,14326,14668,15038,15284
"tensorflow/tensorflow","An Open Source Machine Learning Framework for Everyone",1906.8,8,,152488,10020,36.22,10.81,16.17,,16,26.17,39.74,38.86,41.53,52.41,75.05,80.1,81194,84417,88134,91745,94998,97754,100274,102435,104770,107369,109751,112013,114205,116177,119005,121686,123914,125693,127576,129220,130989,132859,134601,136143,137308,138453,139833,141293,142778,144109,145373,146636,147802,148839,150332,151670,152915
"keras-team/keras","Deep Learning for humans",2130.9,10.1,,50530,4679,16.91,15.23,15.77,,3.93,6.71,7.68,10.77,13.77,19.84,25.67,23.72,22950,24241,25814,27062,28125,29257,30258,31219,32126,33073,34042,35112,36041,36871,37904,39044,39965,40790,41595,42348,43084,43783,44387,45035,45501,45993,46503,47126,47676,48126,48561,48949,49500,49826,50059,50322,50648
"yunjey/pytorch-tutorial","PyTorch Tutorial for Deep Learning Researchers",1417.6,35.6,,19383,2433,8.79,20.65,15.53,,3.29,6.51,10.79,11.36,12.51,14.35,,13.67,4058,4313,4627,5074,5420,5754,6084,6386,6716,7093,7666,8260,8894,9289,9893,10466,11014,11459,11969,12471,12918,13320,13920,14476,14805,15150,15604,16001,16442,16827,17296,17660,18000,18384,18788,19172,19441
"huggingface/transformers","🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.",819.3,10,,39449,3373,12.19,14.06,13.41,,21.14,32.05,44.8,46.64,51.71,50.37,,48.62,0,0,0,0,0,0,0,0,0,0,1525,2179,2680,3661,4521,5245,5948,6857,9272,10614,12597,15167,16950,18962,20575,21922,23524,25061,27117,29112,30937,32471,33825,35361,37020,38473,39826
"pytorch/tutorials","PyTorch tutorials.",1577.9,10.1,,4612,786,2.84,28.03,13.07,,1.86,2.7,3.5,3.29,3.9,3.8,,3.02,1110,1170,1212,1258,1351,1389,1445,1513,1580,1651,1717,1783,1843,1900,1987,2118,2225,2327,2443,2537,2640,2767,2908,3050,3191,3313,3441,3616,3781,3903,4015,4109,4206,4297,4417,4533,4648
"scikit-learn/scikit-learn","scikit-learn: machine learning in Python",3814.5,7.9,,43745,3507,12.68,13.19,13.01,,5.43,9.6,13.33,13.44,14.87,16.46,19.24,11.47,23547,24413,25372,26161,26861,27506,28080,28689,29279,29902,30510,31141,31714,32253,32888,33569,34219,34734,35274,35774,36266,36773,37331,37863,38305,38751,39224,39769,40301,40793,41280,41684,42136,42516,43033,43440,43818
"PyTorchLightning/pytorch-lightning","The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",666.9,7.9,,11470,1407,5.09,20.18,12.75,,7.93,16.96,23.46,25.1,22.29,,,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,221,224,249,1755,2067,2462,2731,3073,3315,3685,4310,4946,5604,6117,6872,7480,8409,9311,10297,10936,11545
"open-mmlab/mmdetection","OpenMMLab Detection Toolbox and Benchmark",887.6,8,,13338,1503,5.43,18.54,12.31,,7.5,11.38,13.59,13.69,14.64,15.43,,15.34,0,0,0,0,0,0,0,0,371,1487,1636,1860,2062,2222,2586,2989,3409,4275,4997,5598,6160,6671,7130,7609,7981,8231,8601,8965,9361,10112,10827,11285,11698,12086,12522,12980,13395
"bharathgs/Awesome-pytorch-list","A comprehensive list of pytorch related content on github,such as different models,implementations,helper libraries,tutorials etc.",1426.2,21.6,,11387,1334,4.82,19.27,12.14,,1.79,6.77,6.08,5.64,7.53,8.7,,7.99,1052,1149,1271,1416,1511,1612,1723,1825,1953,3356,4310,4706,5030,5266,5559,6112,6527,6824,7121,7424,7657,7934,8201,8418,8633,8944,9261,9507,9811,10063,10351,10510,10675,10824,11003,11173,11414
"tensorflow/models","Models and examples built with TensorFlow",1816.8,10.1,,68330,4350,15.72,10.47,11.99,,7.36,21.24,19.84,20.39,23.15,31.42,,37.64,25231,26747,29516,31669,33387,35101,36694,38105,39527,41027,42540,44038,45398,46549,48210,49843,51265,52569,53942,55019,56108,57095,58155,59123,59886,60581,61397,62259,63091,63835,64615,65245,65921,66526,67101,67690,68479
"facebookresearch/detectron2","Detectron2 is FAIR's next-generation platform for object detection and segmentation.",508,9.5,,14530,1503,5.43,17.02,11.63,,6.29,11.11,15.38,15.88,19.84,,,28.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4400,5660,6631,7280,7845,8570,9226,10079,11032,11623,12149,12634,13117,13623,14182,14579
"NVIDIA/apex","A PyTorch Extension:  Tools for easy mixed precision and distributed training in Pytorch",1008.2,9.9,,4952,717,2.59,23.82,11.37,,1.5,2.47,3.69,3.96,4.8,5.71,,4.92,0,0,0,2,90,183,253,296,331,415,496,632,783,934,1197,1418,1632,1815,2011,2243,2455,2646,2806,3026,3196,3357,3517,3680,3878,4053,4228,4356,4506,4613,4761,4874,4996
"jwyang/faster-rcnn.pytorch","A faster pytorch implementation of faster r-cnn",1271.1,32.5,,5995,796,2.88,21.84,11.11,,1.57,1.94,3.13,3.11,3.74,4.87,,5.24,646,739,877,1010,1146,1269,1427,1583,1764,1925,2081,2264,2436,2575,2803,3035,3231,3409,3610,3770,3933,4119,4306,4505,4628,4726,4867,5030,5183,5312,5427,5522,5631,5708,5825,5934,6027
"fastai/fastai","The fastai deep learning library",1234.1,7.9,,20289,1784,6.45,14.46,11.05,,3.43,4.8,7.3,11.07,10.06,12.91,,16.45,2656,3118,3562,3992,4726,5249,5774,6462,7107,8595,9398,10104,10859,11621,12242,12810,13299,13817,14313,14715,15204,15629,16086,16377,16613,16887,17182,17435,17718,18005,18266,18947,19377,19620,19875,20140,20369
"numpy/numpy","The fundamental package for scientific computing with Python.",3786.9,8,,15977,1464,5.29,15.07,10.63,,2.79,6.31,9.01,9.58,9.57,9.56,7.48,4.22,5873,6105,6351,6628,6903,7116,7391,7588,7809,8036,8384,8652,8986,9333,9643,9931,10325,10635,10952,11223,11477,11729,11978,12227,12472,12709,12948,13254,13591,13882,14218,14543,14852,15144,15446,15774,16063
"junyanz/pytorch-CycleGAN-and-pix2pix","Image-to-Image Translation in PyTorch",1378.4,37.3,,14055,1337,4.83,15.65,10.58,,3.29,6.15,8.82,9.18,9.31,10.42,,10.2,3003,3236,3437,3685,3911,4185,4490,4764,5073,5388,5735,6119,6453,6741,7170,7580,7927,8244,8759,9098,9403,9736,10067,10406,10660,10871,11159,11465,11786,12085,12382,12672,12964,13252,13561,13871,14119
"eriklindernoren/PyTorch-GAN","PyTorch implementations of Generative Adversarial Networks.",1010.3,19.2,,8399,928,3.35,18.17,10.35,,3.79,6.02,8.62,8.8,8.8,8.72,,8.32,0,0,0,443,640,813,957,1093,1257,1438,1653,1855,2034,2236,2526,2790,3030,3259,3535,3777,4041,4309,4618,4934,5189,5401,5688,5955,6226,6496,6796,7048,7345,7615,7900,8219,8477
