"fullName","description","isFork","createdAgo","pushedAgo","stars","watchers","forks","issues","pullRequests","releases","topics","mentionable","assignable","usersStars","leftShare","rightShare","relevance","T1W","T2W","T1M","T3M","T6M","T1Y","T2Y","T5Y","TI","T-48","T-47","T-46","T-45","T-44","T-43","T-42","T-41","T-40","T-39","T-38","T-37","T-36","T-35","T-34","T-33","T-32","T-31","T-30","T-29","T-28","T-27","T-26","T-25","T-24","T-23","T-22","T-21","T-20","T-19","T-18","T-17","T-16","T-15","T-14","T-13","T-12","T-11","T-10","T-9","T-8","T-7","T-6","T-5","T-4","T-3","T-2","T-1","T0"
"temporalio/temporal","Temporal service and CLI",false,509,0,1589,50,121,367,979,44,"workflows, workflow-engine, workflow-automation, workflow-management, workflow-management-system, distributed-systems, golang, service-bus, service-fabric, microservices-architecture, microservice-framework, microservice-orchestration",50,21,536,100,100,100,4.14,4.36,3.78,4.28,6.78,4.28,,,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,21,33,113,163,210,262,346,401,884,1191,1335,1468,1584
"temporalio/sdk-java","Temporal Java SDK",false,508.2,0.1,27,11,30,105,276,17,"workflow-engine, workflow-automation, workflow-tool, java, open-source, java-sdk",29,21,9,1.68,98.82,25.4,,,,0.05,0.09,,,,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,9,10,10,11,20,21,23,26,28
"temporalio/helm-charts","Temporal Helm charts",false,353.9,14.2,37,8,39,31,113,19,"helm-chart, temporal-services",24,21,10,1.87,80.12,22.88,,,0.03,0.15,0.15,,,,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,10,11,16,23,28,35,40
"temporalio/sdk-go","Temporal Go SDK",false,508.2,6.2,62,16,29,98,281,47,"golang, open-source, workflow-engine, workflow-automation, workflow-management-system, service-bus, sdk-go",35,21,14,2.61,66.94,22.7,0.29,0.29,0.16,0.14,0.18,0.15,,,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,9,12,20,22,26,30,32,43,48,53,56,63
"temporalio/api","Temporal gRPC API and proto files",false,497.1,7,18,15,18,0,103,20,"grpc, protobuf, api",21,21,5,0.93,82.35,18.49,,,,0.01,0.03,0.04,,,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,7,8,10,11,11,12,14,16,17,17,18
"temporalio/samples-go","Temporal Go SDK samples",false,508.2,5.9,44,13,23,12,73,11,"",18,21,9,1.68,60.64,18.35,,,0.03,0.09,0.15,0.11,,,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,5,7,9,12,16,19,29,35,41,43,45
"temporalio/sdk-core","Core Temporal SDK that can be used as a base for language specific Temporal SDKs",false,55,0,14,7,5,2,62,0,"temporal, rust, rust-sdk, workflow-engine, workflow-tool, workflow-automation, rust-lang",14,21,4,0.75,84.7,17.49,,0.29,0.33,,,,,,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
"temporalio/snipsync",,false,200.1,33.3,16,8,0,0,26,0,"",15,21,4,0.75,74.11,16,0.14,0.07,0.1,0.05,,,,,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,11,12,16
"temporalio/proposals","Temporal proposals",false,307.2,31,20,13,7,11,6,0,"",16,21,4,0.75,59.29,13.79,0.29,0.14,0.1,0.1,0.06,,,,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,6,9,10,10,11,15,17,21
"coinbase/cadence-ruby","Ruby SDK for Cadence",false,388.2,0.3,17,6,5,1,40,1,"",18,14,3,0.56,52.32,11.53,,,,,0.02,,,,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,12,15,16,16,17,17,18
